Equivalents_OH,pH_Wolverine,pH_Brutus
0.01,5.87575013207762,6.142812071349244
0.15,7.1247861076268215,7.393523908747034
0.29,7.613431859795826,7.679536565391624
0.42999999999999994,7.984262747267135,7.936789655717182
0.57,8.600303621790893,8.281518061641712
0.71,8.355357365539117,8.491738887577648
0.8499999999999999,8.972620343858985,8.873221717883295
0.99,10.34275539571642,10.169402426012816
0.01,6.126012303539348,6.149123704908144
0.15,7.518507844361047,7.329185887049944
0.29,7.297287610514824,7.685570726428037
0.42999999999999994,7.867624999825218,8.019403420065906
0.57,8.546168569341358,8.212817506167378
0.71,8.250915478730272,8.506156955468978
0.8499999999999999,9.213829037263505,8.936102789639083
0.99,10.15396921131216,10.180998603710497
0.01,6.227946285945664,6.025156557138362
0.15,7.374706632488956,7.257726313026185
0.29,7.88093422504574,7.738996758412523
0.42999999999999994,7.847381025905874,7.966376568493603
0.57,8.413937806157126,8.230251120191376
0.71,8.610358016370641,8.521036722086132
0.8499999999999999,9.180206798553948,8.860628815436591
0.99,9.87986634060142,10.124775998501388
0.01,6.596272060700109,6.1200026370193585
0.15,7.523794666522015,7.3979073870071295
0.29,7.874626732536701,7.711155341469505
0.42999999999999994,8.223175751728057,7.937766227509552
0.57,8.464631808280945,8.133174541218157
0.71,8.37134421302996,8.447308453112132
0.8499999999999999,9.173162732172747,8.794327783613634
0.99,9.65440691562266,10.109166676372322
0.01,6.276719571622517,6.085645755214037
0.15,7.412626356927289,7.2461712434561605
0.29,7.416332419357772,7.7803272386287485
0.42999999999999994,7.879160910541161,7.945534271441995
0.57,8.282361773216977,8.239504564876299
0.71,8.495245454761502,8.49751378744181
0.8499999999999999,8.703608749278635,8.88821324618597
0.99,10.155528095748227,10.23452967626316
0.01,6.28028578309113,6.079463176857274
0.15,7.262263100189274,7.3730930191578175
0.29,7.441324423209883,7.75815066901531
0.42999999999999994,8.229437064249792,7.923182707357104
0.57,8.525391312410697,8.24248003052829
0.71,8.610295579818098,8.51131928589028
0.8499999999999999,8.880504378492212,8.834591244127601
0.99,10.138866864414357,10.056325225406779
0.01,5.9061790600465,6.086366677607048
0.15,7.605550431815596,7.3776990780248
0.29,7.803025739191413,7.752167184949512
0.42999999999999994,8.052407300676222,7.947756932801059
0.57,8.428987040731794,8.158692681656508
0.71,8.686089831588612,8.448442312806177
0.8499999999999999,8.963116078526921,8.96207014798982
0.99,9.97335640786683,10.052996088037391
0.01,6.356722624143056,6.05917035902375
0.15,7.255217648266674,7.426062357419277
0.29,7.747302113588977,7.765733096341672
0.42999999999999994,7.815897005152901,7.9213405944507
0.57,8.234735241911535,8.218518138895798
0.71,8.469958505738177,8.499081561902903
0.8499999999999999,8.683989134239068,8.83065874728247
0.99,10.311999848344435,10.16994417782274
0.01,6.05710916320608,6.097001257201352
0.15,7.372783866896585,7.360935868199366
0.29,7.610227325782728,7.7306641099205295
0.42999999999999994,7.997341926769029,7.975301500895317
0.57,8.256777574613986,8.249441911662275
0.71,8.54368032250303,8.498130019165997
0.8499999999999999,8.795321070954166,8.81651086015929
0.99,10.202674581830445,10.16728010216455
0.01,6.5582025176362215,6.130644197578287
0.15,7.426094013222553,7.362302261551371
0.29,7.698496836096439,7.731431959847332
0.42999999999999994,7.89363273535883,8.004195181487722
0.57,8.571386031751794,8.187456911319426
0.71,8.557358241013636,8.43997425896443
0.8499999999999999,8.841446621796475,8.88311056416649
0.99,10.118746972673017,10.070059582950263
0.01,6.327169531961447,6.129035940661463
0.15,7.458764775341072,7.356464404638572
0.29,7.821145865468573,7.629176166420565
0.42999999999999994,7.953161053692574,7.906194855555342
0.57,8.303180170952182,8.174694597046383
0.71,8.430332277425405,8.43567700149531
0.8499999999999999,9.143392217200368,8.879229424508527
0.99,10.074653615650709,10.029299610657485
0.01,6.14803679694722,6.154079008614945
0.15,7.245089861539746,7.363054647889174
0.29,7.487347072338725,7.612873414579957
0.42999999999999994,7.866052133324633,7.902394912030791
0.57,8.570195842880915,8.14604598844725
0.71,8.821719374106612,8.499211278250721
0.8499999999999999,9.064751459497575,8.94155450729799
0.99,9.838820582919666,10.11348637996071
